algo,game,size,last_eps,last_ws_eps,before_adjust_eps,before_adjust_ws_eps
bbm_36,BertrandOligopoly,10,0.04934738347132769,0.05102322454803064,0.05228657279062645,0.05228657279062645
bbm_36,BertrandOligopoly,100,0.0039041488472832953,0.0039041488472832953,0.0039041488472832953,0.0039041488472832953
bbm_36,BertrandOligopoly,1000,0.00016293631197186186,0.00016293631197186186,0.00016293631197186186,0.00016293631197186186
bbm_36,CournotDuopoly,10,0.030545874614355616,0.037855512927858125,0.036451572235159234,0.037855512927858125
bbm_36,CournotDuopoly,100,0.0006496495524057115,0.0006496495524057115,0.0006496495524057115,0.0006496495524057115
bbm_36,CournotDuopoly,1000,7.706553442403674e-05,7.706553442403674e-05,7.706553442403674e-05,7.706553442403674e-05
bbm_36,GrabTheDollar,10,0.09536863642824364,0.10035441579803087,0.5682739425101317,0.5682739425101317
bbm_36,GrabTheDollar,100,0.0956295673388882,0.09902605182007632,0.6097718023462221,0.6097718023462221
bbm_36,GrabTheDollar,1000,0.0602670785140871,0.06604526877225862,0.6777113096322864,0.6777113096322864
bbm_36,GuessTwoThirdsAve,10,0.0,0.0,0.0,0.0
bbm_36,GuessTwoThirdsAve,100,0.0,0.0,0.0,0.0
bbm_36,GuessTwoThirdsAve,1000,0.0,0.0,0.0,0.0
bbm_36,LocationGame,10,0.0011716418586274814,0.0011716418586274814,0.0011716418586274814,0.0011716418586274814
bbm_36,LocationGame,100,0.01104638960387092,0.01104638960387092,0.01104638960387092,0.01104638960387092
bbm_36,LocationGame,1000,0.035110873673693276,0.035110873673693276,0.035110873673693276,0.035110873673693276
bbm_36,MinimumEffortGame,10,0.0,0.0,0.0,0.0
bbm_36,MinimumEffortGame,100,0.0,0.0,0.0,0.0
bbm_36,MinimumEffortGame,1000,0.0,0.0,0.0,0.0
bbm_36,TravelersDilemma,10,0.0,0.0,0.0,0.0
bbm_36,TravelersDilemma,100,0.0,0.0,0.0,0.0
bbm_36,TravelersDilemma,1000,0.0,0.0,0.0,0.0
bbm_36,WarOfAttrition,10,0.0,0.0,0.0,0.0
bbm_36,WarOfAttrition,100,0.0,0.0,0.0,0.0
bbm_36,WarOfAttrition,1000,0.0,0.0,0.0,0.0
bbm_36,random,10,0.16555777623338122,0.3281522533267733,0.17293899567569668,0.328339218276298
bbm_36,random,100,0.09596716804273608,0.17629726394570944,0.09596716804273608,0.17629726394570944
bbm_36,random,1000,0.038107496073873544,0.0735665704305897,0.038107496073873544,0.0735665704305897
bbm_36,zerosum,10,3.9135361618036767e-16,7.93809462606987e-16,3.9135361618036767e-16,7.93809462606987e-16
bbm_36,zerosum,100,9.428569036629142e-15,1.5590306823298762e-14,9.428569036629142e-15,1.5590306823298762e-14
bbm_36,zerosum,1000,3.7369551897370455e-13,4.217681759399738e-13,3.7369551897370455e-13,4.217681759399738e-13
cdffjs_38,BertrandOligopoly,10,0.045049533852913395,0.05677323070254601,0.043165811398458945,0.04386224997129716
cdffjs_38,BertrandOligopoly,100,0.003904114343458788,0.003904114343458788,0.003904114343458788,0.003904114343458788
cdffjs_38,BertrandOligopoly,1000,0.00016293631197186194,0.00016293631197195042,0.00016293631197186194,0.00016293631197195042
cdffjs_38,CournotDuopoly,10,0.02060368080301487,0.02060368080301487,0.035743482116185984,0.035743482116185984
cdffjs_38,CournotDuopoly,100,0.000801081559626348,0.000801081559626348,0.0008010824327807857,0.0008010824327807857
cdffjs_38,CournotDuopoly,1000,1.929036841374909e-09,1.929036841374909e-09,1.929036841374909e-09,1.929036841374909e-09
cdffjs_38,GrabTheDollar,10,0.017613516648343146,0.5177133769584807,7.65337115514117e-11,7.878919771383414e-11
cdffjs_38,GrabTheDollar,100,0.0016028026730015108,0.4698830149512217,9.602421167237418e-10,3.025871423504208e-09
cdffjs_38,GrabTheDollar,1000,,,,
cdffjs_38,GuessTwoThirdsAve,10,0.0,0.0,0.0,0.0
cdffjs_38,GuessTwoThirdsAve,100,0.0,0.0,0.0,0.0
cdffjs_38,GuessTwoThirdsAve,1000,0.0,0.0,0.0,0.0
cdffjs_38,LocationGame,10,0.0010016741035769883,0.0010016741035769883,0.0011716418586274814,0.0011716418586274814
cdffjs_38,LocationGame,100,0.006068932148627937,0.006068932148627937,0.006775324905174784,0.006775324905174784
cdffjs_38,LocationGame,1000,0.007545809110160917,0.007545809110160917,0.008188542482093908,0.008188542482093908
cdffjs_38,MinimumEffortGame,10,0.0,0.0,0.0,0.0
cdffjs_38,MinimumEffortGame,100,0.007241390340731746,0.023232322931289674,0.0,0.0
cdffjs_38,MinimumEffortGame,1000,0.0,0.0,0.0,0.0
cdffjs_38,TravelersDilemma,10,0.0,0.0,0.48635334670543673,0.48635334670543673
cdffjs_38,TravelersDilemma,100,0.0,0.0,0.42809126526117325,0.42809126526117325
cdffjs_38,TravelersDilemma,1000,0.0536956751454573,0.08468603491783142,0.42278013527393343,0.42278013527393343
cdffjs_38,WarOfAttrition,10,0.0,0.0,0.0,0.0
cdffjs_38,WarOfAttrition,100,0.0,0.0,0.0,0.0
cdffjs_38,WarOfAttrition,1000,0.0,0.0,0.0,0.0
cdffjs_38,random,10,0.24348242219302446,0.72330125046365,0.08290410271326061,0.23834159437535624
cdffjs_38,random,100,0.3091846823134141,0.9696907615909953,0.024100787804359057,0.12506010236394033
cdffjs_38,random,1000,0.3258588195099349,0.9956066984304321,0.00682280394189802,0.049536840464368015
cdffjs_38,zerosum,10,0.28734941739529296,0.782008696607484,2.195466031196247e-15,4.614364446098307e-15
